formula,class,mp,technique,dag_nodes,temporals,tree_nodes,sharing,build_s,equiv,reconstructed
aut_33340.hoa,?,?,buchi,159,27,10512,66.1,1.149,True,(a & (X!a | F((!a & X(!a U (a & X!a))) | (a & X(a & (X(!a | X!a | (X(a & XF!a) &…
aut_33344.hoa,?,?,buchi,30,5,71,2.4,1.116,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_33346.hoa,?,?,partscc,5,1,7,1.4,0.065,True,a & G(a | Xa)
aut_33347.hoa,?,?,acc,1,0,1,1.0,1.104,True,a
aut_33348.hoa,?,?,buchi,5161,876,2945605709571695,570743210535.1,1.550,UNVERIFIED_SIZE,<unflattened DAG: 2945605709571695 tree nodes>
aut_33351.hoa,?,?,acc,1,0,1,1.0,1.144,True,a
aut_33352.hoa,?,?,buchi,30,5,71,2.4,1.116,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_33356.hoa,?,?,buchi,5161,876,2945605709571695,570743210535.1,1.549,UNVERIFIED_SIZE,<unflattened DAG: 2945605709571695 tree nodes>
aut_33376.hoa,?,?,buchi,30,5,71,2.4,1.122,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_33379.hoa,?,?,acc,1,0,1,1.0,1.107,True,a
aut_33380.hoa,?,?,buchi,16,4,31,1.9,1.117,True,a & XFa & G((!a | X(!a | X(!a R Fa))) & (a | X(a R (!a | XFa))))
aut_33383.hoa,?,?,acc,1,0,1,1.0,1.110,True,a
aut_33384.hoa,?,?,buchi,30,5,71,2.4,1.120,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_33388.hoa,?,?,buchi,16,4,31,1.9,1.118,True,a & XFa & G((!a | X(!a | X(!a R Fa))) & (a | X(a R (!a | XFa))))
aut_33392.hoa,?,?,buchi,30,5,71,2.4,1.116,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_33395.hoa,?,?,acc,1,0,1,1.0,1.110,True,a
aut_33396.hoa,?,?,buchi,16,4,31,1.9,1.113,True,a & XFa & G((!a | X(!a | X(!a R Fa))) & (a | X(a R (!a | XFa))))
aut_33399.hoa,?,?,acc,1,0,1,1.0,1.113,True,a
aut_33400.hoa,?,?,buchi,30,5,71,2.4,1.120,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_33404.hoa,?,?,buchi,16,4,31,1.9,1.110,True,a & XFa & G((!a | X(!a | X(!a R Fa))) & (a | X(a R (!a | XFa))))
aut_33408.hoa,?,?,daisy2,2,1,2,1.0,0.066,True,Ga
aut_33411.hoa,?,?,buchi,787,147,6052771,7690.9,1.184,UNVERIFIED_SIZE,<unflattened DAG: 6052771 tree nodes>
aut_33412.hoa,?,?,-,,,,,0.583,NOT_LTL,
aut_33415.hoa,?,?,acc,1,0,1,1.0,1.113,True,a
aut_33420.hoa,?,?,buchi,35791,5941,2748385567836173565593641371998,76789851298822992244506624.0,2.960,UNVERIFIED_SIZE,<unflattened DAG: 2748385567836173565593641371998 tree nodes>
aut_33472.hoa,?,?,buchi,14,3,29,2.1,1.113,True,a & XF!a & ((!a & X!a) R (!a | X(!a R (a | X(a & XF!a)))))
aut_33475.hoa,?,?,buchi,24,5,51,2.1,1.132,True,a & F!a & X((a | XF!a) & ((!a & (a | G(a | X!a))) | G((a | X(a | X(a R F!a))) & …
aut_33476.hoa,?,?,buchi,185,37,564880,3053.4,1.137,UNVERIFIED_SIZE,<unflattened DAG: 564880 tree nodes>
aut_33479.hoa,?,?,buchi,24,5,51,2.1,1.129,True,a & F!a & X((a | XF!a) & ((!a & (a | G(a | X!a))) | G((a | X(a | X(a R F!a))) & …
aut_33480.hoa,?,?,buchi,14,3,29,2.1,1.114,True,a & XF!a & ((!a & X!a) R (!a | X(!a R (a | X(a & XF!a)))))
aut_33484.hoa,?,?,buchi,185,37,564880,3053.4,1.135,UNVERIFIED_SIZE,<unflattened DAG: 564880 tree nodes>
aut_33538.hoa,?,?,daisy,6,2,8,1.3,0.064,True,a U (!a & XGa)
aut_33552.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_33554.hoa,?,?,-,,,,,0.583,NOT_LTL,
aut_33556.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_33558.hoa,?,?,buchi,3,1,3,1.0,1.105,True,F!a
aut_33560.hoa,?,?,daisy2,4,2,4,1.0,0.063,True,GF!a
aut_33564.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_33568.hoa,?,?,daisy2,8,2,12,1.5,0.063,True,G(F(!a & Xa) & (a | Xa))
aut_33570.hoa,?,?,buchi,194,37,1676,8.6,1.171,True,((a | X(a & X(!a | X!a | (X(a & XF!a) & ((!a | Xa) U (a & X(a & X!a))))))) & (((…
aut_33572.hoa,?,?,daisy2,6,3,7,1.2,0.066,True,G(Fa & F!a)
aut_33574.hoa,?,?,buchi,72,14,300,4.2,1.126,True,(!a | X!a | (X(a & XF!a) & ((!a | Xa) U (a & X(a & X!a))))) & ((a & Xa & (X(!a |…
aut_33576.hoa,?,?,daisy2,8,2,12,1.5,0.065,True,G(F(!a & Xa) & (a | Xa))
aut_33580.hoa,?,?,daisy2,6,3,7,1.2,0.066,True,G(Fa & F!a)
aut_33584.hoa,?,?,-,,,,,0.581,NOT_LTL,
aut_33586.hoa,?,?,-,,,,,0.583,NOT_LTL,
aut_33587.hoa,?,?,buchi,424,83,2005270,4729.4,1.158,UNVERIFIED_SIZE,<unflattened DAG: 2005270 tree nodes>
aut_33590.hoa,?,?,buchi,3,1,3,1.0,1.108,True,F!a
aut_33596.hoa,?,?,buchi,424,83,2005270,4729.4,1.165,UNVERIFIED_SIZE,<unflattened DAG: 2005270 tree nodes>
aut_33600.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_33602.hoa,?,?,-,,,,,0.580,NOT_LTL,
aut_33604.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_33606.hoa,?,?,buchi,3,1,3,1.0,1.104,True,F!a
aut_33608.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_33612.hoa,?,?,daisy2,4,2,4,1.0,0.061,True,GF!a
aut_33632.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_33634.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_33636.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_33638.hoa,?,?,buchi,3,1,3,1.0,1.108,True,F!a
aut_33640.hoa,?,?,daisy2,4,2,4,1.0,0.062,True,GF!a
aut_33644.hoa,?,?,daisy2,4,2,4,1.0,0.066,True,GF!a
aut_33650.hoa,?,?,-,,,,,0.585,NOT_LTL,
aut_33654.hoa,?,?,buchi,3,1,3,1.0,1.130,True,F!a
aut_33664.hoa,?,?,daisy2,8,2,12,1.5,0.065,True,G(F(!a & Xa) & (a | Xa))
aut_33666.hoa,?,?,buchi,194,37,1676,8.6,1.145,True,((a | X(a & X(!a | X!a | (X(a & XF!a) & ((!a | Xa) U (a & X(a & X!a))))))) & (((…
aut_33668.hoa,?,?,daisy2,6,3,7,1.2,0.066,True,G(Fa & F!a)
aut_33670.hoa,?,?,buchi,362,63,2878695,7952.2,1.155,UNVERIFIED_SIZE,<unflattened DAG: 2878695 tree nodes>
aut_33728.hoa,?,?,-,,,,,0.580,NOT_LTL,
aut_33730.hoa,?,?,-,,,,,0.586,NOT_LTL,
aut_33731.hoa,?,?,buchi,424,83,2005270,4729.4,1.161,UNVERIFIED_SIZE,<unflattened DAG: 2005270 tree nodes>
aut_33732.hoa,?,?,daisy2,4,2,4,1.0,0.066,True,GF!a
aut_33734.hoa,?,?,buchi,3,1,3,1.0,1.106,True,F!a
aut_33736.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_33740.hoa,?,?,buchi,4273,741,314685731206243,73645151230.1,1.366,UNVERIFIED_SIZE,<unflattened DAG: 314685731206243 tree nodes>
aut_33816.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_33820.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_33832.hoa,?,?,daisy2,4,1,5,1.2,0.066,True,G(a | Xa)
aut_33836.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_33848.hoa,?,?,daisy2,4,2,4,1.0,0.066,True,GF!a
aut_33852.hoa,?,?,buchi,47258,8754,96278864367642944559027015727430,2037302982937131203031990272.0,3.056,UNVERIFIED_SIZE,<unflattened DAG: 96278864367642944559027015727430 tree nodes>
aut_33858.hoa,?,?,buchi,4540,808,5354557336598856051,1179417915550408.8,1.498,UNVERIFIED_SIZE,<unflattened DAG: 5354557336598856051 tree nodes>
aut_33859.hoa,?,?,-,,,,,0.580,NOT_LTL,
aut_33888.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_33890.hoa,?,?,buchi,1187,194,10733494,9042.5,1.239,UNVERIFIED_SIZE,<unflattened DAG: 10733494 tree nodes>
aut_33891.hoa,?,?,acc,1,0,1,1.0,1.110,True,1
aut_33896.hoa,?,?,daisy2,3,2,3,1.0,0.064,True,GFa
aut_33900.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_33904.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_33906.hoa,?,?,acc,1,0,1,1.0,1.106,True,1
aut_33907.hoa,?,?,buchi,86,22,417,4.8,1.121,True,((a & XF!a) | F((!a & X!a) | (a & X(a & XF!a)))) & (a | X!a | (((!a | X!a) U (!a…
aut_33912.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_33916.hoa,?,?,-,,,,,15.024,BUILD_TIMEOUT>15s,
aut_33922.hoa,?,?,buchi,428,85,15111111,35306.3,1.151,UNVERIFIED_SIZE,<unflattened DAG: 15111111 tree nodes>
aut_33923.hoa,?,?,buchi,1097,199,1353922752,1234204.9,1.200,UNVERIFIED_SIZE,<unflattened DAG: 1353922752 tree nodes>
aut_33986.hoa,?,?,-,,,,,15.026,BUILD_TIMEOUT>15s,
aut_33987.hoa,?,?,-,,,,,0.583,NOT_LTL,
aut_34320.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_34322.hoa,?,?,acc,1,0,1,1.0,1.104,True,1
aut_34323.hoa,?,?,acc,1,0,1,1.0,1.106,True,1
aut_34324.hoa,?,?,daisy2,1,0,1,1.0,0.061,True,1
aut_34327.hoa,?,?,acc,1,0,1,1.0,1.107,True,1
aut_34328.hoa,?,?,daisy2,1,0,1,1.0,0.066,True,1
aut_34332.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_34336.hoa,?,?,daisy2,4,1,5,1.2,0.065,True,G(a | Xa)
aut_34338.hoa,?,?,buchi,32,8,88,2.8,1.109,True,((!a R (a | Xa)) & (Ga | ((!a & X!a) R (!a | X(!a | X(!a R (a | Xa)))))) & ((!a …
aut_34339.hoa,?,?,acc,1,0,1,1.0,1.103,True,1
aut_34343.hoa,?,?,acc,1,0,1,1.0,1.113,True,1
aut_34344.hoa,?,?,daisy2,4,1,5,1.2,0.065,True,G(a | Xa)
aut_34352.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_34354.hoa,?,?,acc,1,0,1,1.0,1.109,True,1
aut_34355.hoa,?,?,buchi,105,17,1371,13.1,1.136,True,X(a | X(!a | X(!a | X!a | (X(a & XF!a) & ((!a | Xa) U (a & X(a & X!a))))))) & ((…
aut_34356.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_34359.hoa,?,?,buchi,9,3,14,1.6,1.113,True,X(F!a & G(a | X(a R F!a)))
aut_34360.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_34364.hoa,?,?,buchi,238,43,5565,23.4,1.147,True,((!a & X!a) | (((a & X!a) | (((a | Xa) U (a & X(a & (X!a | (F(a & X(a & X!a)) & …
aut_34368.hoa,?,?,-,,,,,0.582,NOT_LTL,
aut_34371.hoa,?,?,buchi,132,31,819,6.2,1.129,True,((a | (F((a & Xa) | (!a & X(!a & XFa))) & (X!a | (((!a | X!a) U (!a & X(!a U (a …
aut_34372.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_34375.hoa,?,?,acc,1,0,1,1.0,1.108,True,1
aut_34376.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_34380.hoa,?,?,-,,,,,15.023,BUILD_TIMEOUT>15s,
aut_34403.hoa,?,?,acc,1,0,1,1.0,1.111,True,1
aut_34407.hoa,?,?,acc,1,0,1,1.0,1.099,True,1
aut_34416.hoa,?,?,-,,,,,0.579,NOT_LTL,
aut_34418.hoa,?,?,acc,1,0,1,1.0,1.109,True,1
aut_34419.hoa,?,?,buchi,132,31,819,6.2,1.118,True,((a | (F((a & Xa) | (!a & X(!a & XFa))) & (X!a | (((!a | X!a) U (!a & X(!a U (a …
aut_34420.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_34423.hoa,?,?,acc,1,0,1,1.0,1.130,True,1
aut_34424.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_34428.hoa,?,?,buchi,132,31,819,6.2,1.129,True,((a | (F((a & Xa) | (!a & X(!a & XFa))) & (X!a | (((!a | X!a) U (!a & X(!a U (a …
aut_34432.hoa,?,?,-,,,,,0.581,NOT_LTL,
aut_34434.hoa,?,?,buchi,301,57,741565,2463.7,1.148,UNVERIFIED_SIZE,<unflattened DAG: 741565 tree nodes>
aut_34435.hoa,?,?,-,,,,,0.585,NOT_LTL,
aut_34436.hoa,?,?,-,,,,,0.583,NOT_LTL,
aut_34439.hoa,?,?,acc,1,0,1,1.0,1.112,True,1
aut_34496.hoa,?,?,-,,,,,0.595,NOT_LTL,
aut_34499.hoa,?,?,buchi,81,9,442,5.5,1.164,True,(!a | X(a | XXF!a)) & (a | X(a | X(a | XXF!a))) & ((a & X!a) | (!a & X(!a & X!a)…
aut_34500.hoa,?,?,daisy2,6,3,7,1.2,0.066,True,G(F!a & Fa)
aut_34503.hoa,?,?,buchi,1280,222,6234046,4870.3,1.298,UNVERIFIED_SIZE,<unflattened DAG: 6234046 tree nodes>
aut_34504.hoa,?,?,-,,,,,0.582,NOT_LTL,
aut_34508.hoa,?,?,buchi,207,38,55842,269.8,1.139,True,((a & X!a) | (((a | Xa) U (a & X(a & (X!a | (F(a & X(a & X!a)) & X(a & XF!a)))))…
aut_34576.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_34578.hoa,?,?,acc,1,0,1,1.0,1.107,True,1
aut_34579.hoa,?,?,acc,1,0,1,1.0,1.106,True,1
aut_34580.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_34582.hoa,?,?,acc,1,0,1,1.0,1.104,True,1
aut_34584.hoa,?,?,daisy2,1,0,1,1.0,0.061,True,1
aut_34588.hoa,?,?,daisy2,1,0,1,1.0,0.062,True,1
aut_34592.hoa,?,?,daisy2,4,1,5,1.2,0.065,True,G(a | Xa)
aut_34594.hoa,?,?,buchi,32,8,88,2.8,1.119,True,((!a R (a | Xa)) & (Ga | ((!a & X!a) R (!a | X(!a | X(!a R (a | Xa)))))) & ((!a …
aut_34595.hoa,?,?,acc,1,0,1,1.0,1.100,True,1
aut_34596.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_34598.hoa,?,?,buchi,8,3,16,2.0,1.111,True,(!a R Fa) & G(!a | X(!a R Fa))
aut_34600.hoa,?,?,daisy2,4,1,5,1.2,0.066,True,G(a | Xa)
aut_34604.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_34608.hoa,?,?,-,,,,,0.585,NOT_LTL,
aut_34610.hoa,?,?,acc,1,0,1,1.0,1.098,True,1
aut_34611.hoa,?,?,buchi,105,17,1371,13.1,1.133,True,X(a | X(!a | X(!a | X!a | (X(a & XF!a) & ((!a | Xa) U (a & X(a & X!a))))))) & ((…
aut_34614.hoa,?,?,acc,1,0,1,1.0,1.146,True,1
aut_34620.hoa,?,?,buchi,105,17,1371,13.1,1.145,True,X(a | X(!a | X(!a | X!a | (X(a & XF!a) & ((!a | Xa) U (a & X(a & X!a))))))) & ((…
aut_34624.hoa,?,?,daisy2,4,2,4,1.0,0.066,True,GF!a
aut_34626.hoa,?,?,acc,1,0,1,1.0,1.107,True,1
aut_34628.hoa,?,?,daisy2,4,2,4,1.0,0.063,True,GF!a
aut_34630.hoa,?,?,acc,1,0,1,1.0,1.103,True,1
aut_34632.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_34636.hoa,?,?,daisy2,4,2,4,1.0,0.062,True,GF!a
aut_34656.hoa,?,?,daisy2,1,0,1,1.0,0.066,True,1
aut_34658.hoa,?,?,acc,1,0,1,1.0,1.102,True,1
aut_34659.hoa,?,?,acc,1,0,1,1.0,1.111,True,1
aut_34660.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_34662.hoa,?,?,acc,1,0,1,1.0,1.112,True,1
aut_34664.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_34668.hoa,?,?,daisy2,1,0,1,1.0,0.063,True,1
aut_34674.hoa,?,?,acc,1,0,1,1.0,1.112,True,1
aut_34678.hoa,?,?,acc,1,0,1,1.0,1.106,True,1
aut_34690.hoa,?,?,buchi,32,8,88,2.8,1.115,True,((!a R (a | Xa)) & (Ga | ((!a & X!a) R (!a | X(!a | X(!a R (a | Xa)))))) & ((!a …
aut_34694.hoa,?,?,buchi,8,3,16,2.0,1.111,True,(!a R Fa) & G(!a | X(!a R Fa))
aut_34752.hoa,?,?,-,,,,,0.587,NOT_LTL,
aut_34754.hoa,?,?,acc,1,0,1,1.0,1.103,True,1
aut_34755.hoa,?,?,-,,,,,0.585,NOT_LTL,
aut_34756.hoa,?,?,daisy2,4,2,4,1.0,0.066,True,GF!a
aut_34758.hoa,?,?,acc,1,0,1,1.0,1.103,True,1
aut_34760.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_34764.hoa,?,?,-,,,,,0.581,NOT_LTL,
aut_34844.hoa,?,?,buchi,13,3,23,1.8,1.110,True,a & XX(XG(!a | XXFa) & (a M (!a | XXFa)))
aut_34860.hoa,?,?,buchi,4537,771,665375721868492,146655437925.6,1.379,UNVERIFIED_SIZE,<unflattened DAG: 665375721868492 tree nodes>
aut_34876.hoa,?,?,buchi,185,37,564705,3052.5,1.133,UNVERIFIED_SIZE,<unflattened DAG: 564705 tree nodes>
aut_34883.hoa,?,?,-,,,,,0.585,NOT_LTL,
aut_34912.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_34915.hoa,?,?,buchi,642,126,18232761,28399.9,1.236,UNVERIFIED_SIZE,<unflattened DAG: 18232761 tree nodes>
aut_34924.hoa,?,?,-,,,,,0.581,NOT_LTL,
aut_34947.hoa,?,?,buchi,660,127,6038633,9149.4,1.170,UNVERIFIED_SIZE,<unflattened DAG: 6038633 tree nodes>
aut_35011.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_35864.hoa,?,?,daisy2,4,2,4,1.0,0.067,True,GF!a
aut_35880.hoa,?,?,daisy2,8,2,12,1.5,0.066,True,G(F(!a & Xa) & (a | Xa))
aut_35896.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_35900.hoa,?,?,buchi,37852,6573,6489218188825023032910004976529,171436600148605687954407424.0,2.545,UNVERIFIED_SIZE,<unflattened DAG: 6489218188825023032910004976529 tree nodes>
aut_35906.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_35936.hoa,?,?,-,,,,,0.579,NOT_LTL,
aut_35938.hoa,?,?,-,,,,,0.580,NOT_LTL,
aut_35944.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_35952.hoa,?,?,daisy2,6,2,8,1.3,0.064,True,GF(!a & X!a)
aut_35954.hoa,?,?,-,,,,,0.583,NOT_LTL,
aut_35960.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_35970.hoa,?,?,buchi,2742,459,72751766372423,26532372856.5,1.291,UNVERIFIED_SIZE,<unflattened DAG: 72751766372423 tree nodes>
aut_35984.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_36034.hoa,?,?,-,,,,,0.583,NOT_LTL,
aut_36035.hoa,?,?,buchi,1583,281,32012061523478,20222401467.8,1.188,UNVERIFIED_SIZE,<unflattened DAG: 32012061523478 tree nodes>
